scenario_index,frame_index,source_available,primary_action,guarded_action,obj_removed,missing_recovered,missing_candidates,missing_gt,missing_tp,missing_fp,EgoOnly_wp_coll,EgoOnly_warned,EgoOnly_geom,EgoOnly_mod,EgoOnly_agents,CleanCoop_wp_coll,CleanCoop_warned,CleanCoop_geom,CleanCoop_mod,CleanCoop_agents,RealPrimaryRaw_wp_coll,RealPrimaryRaw_warned,RealPrimaryRaw_geom,RealPrimaryRaw_mod,RealPrimaryRaw_agents,RealPrimaryTrustCalib_wp_coll,RealPrimaryTrustCalib_warned,RealPrimaryTrustCalib_geom,RealPrimaryTrustCalib_mod,RealPrimaryTrustCalib_agents,RealMultiEvidenceGuard_wp_coll,RealMultiEvidenceGuard_warned,RealMultiEvidenceGuard_geom,RealMultiEvidenceGuard_mod,RealMultiEvidenceGuard_agents,guard_minus_ego_wp_coll,guard_minus_clean_wp_coll
24,18,4,accept,accept,0,0,0,19,0,0,0,1,2,0.2,27,0,1,2,0.2,49,0,1,2,0.2,30,0,1,2,0.2,30,0,1,2,0.2,30,0,0
24,19,4,accept,accept,0,0,0,18,0,0,0,1,2,0.2,28,0,1,2,0.2,49,0,1,2,0.2,31,0,1,2,0.2,31,0,1,2,0.2,31,0,0
34,0,4,accept,accept,0,1,1,11,1,0,0,1,5,0.5,28,0,1,5,0.5,39,0,1,5,0.5,28,0,1,5,0.5,28,0,1,5,0.5,29,0,0
34,1,4,accept,accept,0,1,1,12,1,0,0,1,7,0.7,27,0,1,7,0.7,39,0,1,7,0.7,27,0,1,7,0.7,27,0,1,7,0.7,28,0,0
34,2,4,accept,accept,0,3,3,12,3,0,2,1,5,0.5,26,1,1,10,1.0,39,1,1,10,1.0,27,1,1,10,1.0,27,1,1,10,1.0,30,-1,0
34,3,4,accept,accept,0,3,3,12,3,0,0,1,9,0.9,27,0,1,9,0.9,39,0,1,9,0.9,27,0,1,9,0.9,27,0,1,9,0.9,30,0,0
34,4,4,accept,accept,0,2,2,11,2,0,0,1,9,0.9,28,0,1,9,0.9,39,0,1,9,0.9,28,0,1,9,0.9,28,0,1,9,0.9,30,0,0
34,5,4,accept,accept,0,2,2,10,2,0,1,1,10,1.0,29,1,1,10,1.0,39,1,1,10,1.0,29,1,1,10,1.0,29,1,1,10,1.0,31,0,0
34,6,4,accept,accept,0,2,2,11,2,0,1,1,9,0.9,28,1,1,9,0.9,39,1,1,9,0.9,28,1,1,9,0.9,28,1,1,9,0.9,30,0,0
34,7,4,accept,accept,0,1,1,10,1,0,1,1,9,0.9,28,1,1,9,0.9,39,1,1,9,0.9,29,1,1,9,0.9,29,1,1,9,0.9,30,0,0
