mode,support_modes,scenario_index,frame_index,method,wp_coll,wp_total,warned,avg_mod,geom,p_coll,report_action,obj_removed,fake_seen,fake_removed,real_removed,missing_candidates,missing_recovered,missing_gt,missing_recovery_tp,missing_recovery_fp,smooth_agents
fake_front,clean+fake_front,12,1,PrimaryRaw,0,10,1,1.0,10,0.11925899237394333,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,1,PrimaryTrustCalib,0,10,1,1.0,10,0.11925899237394333,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,1,MultiPeerObjectGuard,0,10,1,1.0,10,0.11925899237394333,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,2,EgoOnly,0,10,0,0.0,0,0.14528588950634003,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,2,CleanCoop,0,10,0,0.0,0,0.11932884901762009,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,2,PrimaryRaw,0,10,1,1.0,10,0.11932884901762009,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,2,PrimaryTrustCalib,0,10,1,1.0,10,0.11932884901762009,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,2,MultiPeerObjectGuard,0,10,1,1.0,10,0.11932884901762009,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,3,EgoOnly,0,10,0,0.0,0,0.1462281197309494,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,3,CleanCoop,0,10,0,0.0,0,0.11887969821691513,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,3,PrimaryRaw,0,10,1,1.0,10,0.11887969821691513,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,3,PrimaryTrustCalib,0,10,1,1.0,10,0.11887969821691513,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,3,MultiPeerObjectGuard,0,10,1,1.0,10,0.11887969821691513,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,4,EgoOnly,0,10,0,0.0,0,0.14383330941200256,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,4,CleanCoop,0,10,0,0.0,0,0.1203032061457634,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,4,PrimaryRaw,0,10,1,1.0,10,0.1203032061457634,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,4,PrimaryTrustCalib,0,10,1,1.0,10,0.1203032061457634,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,4,MultiPeerObjectGuard,0,10,1,1.0,10,0.1203032061457634,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,5,EgoOnly,0,10,0,0.0,0,0.13482937216758728,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,5,CleanCoop,0,10,0,0.0,0,0.11830943077802658,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,5,PrimaryRaw,0,10,1,1.0,10,0.11830943077802658,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,5,PrimaryTrustCalib,0,10,1,1.0,10,0.11830943077802658,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,5,MultiPeerObjectGuard,0,10,1,1.0,10,0.11830943077802658,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,6,EgoOnly,0,10,0,0.0,0,0.13432541489601135,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,6,CleanCoop,0,10,0,0.0,0,0.11030985414981842,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,6,PrimaryRaw,0,10,1,1.0,10,0.11030985414981842,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,6,PrimaryTrustCalib,0,10,1,1.0,10,0.11030985414981842,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,6,MultiPeerObjectGuard,0,10,1,1.0,10,0.11030985414981842,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,7,EgoOnly,0,10,0,0.0,0,0.1827940195798874,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,7,CleanCoop,0,10,0,0.0,0,0.10671420395374298,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,7,PrimaryRaw,0,10,1,1.0,10,0.10671420395374298,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,7,PrimaryTrustCalib,0,10,1,1.0,10,0.10671420395374298,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,7,MultiPeerObjectGuard,0,10,1,1.0,10,0.10671420395374298,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,8,EgoOnly,0,10,0,0.0,0,0.22359293699264526,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,8,CleanCoop,0,10,0,0.0,0,0.10668100416660309,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,8,PrimaryRaw,0,10,1,1.0,10,0.10668100416660309,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,8,PrimaryTrustCalib,0,10,1,1.0,10,0.10668100416660309,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,8,MultiPeerObjectGuard,0,10,1,1.0,10,0.10668100416660309,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,9,EgoOnly,0,10,1,0.0,0,0.30967971682548523,,0,0,0,0,0,0,0,0,0,0
